,count,mean,std,min,25%,50%,75%,max
P1175$10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1175$11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1175$12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1175$13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1175$14,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1175$15,100.0,0.98,1.0048367875913828,0.0,0.0,0.0,2.0,2.0
P1175$16,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P117T2,100.0,110.4025,112.40065841161089,0.0,19.75,79.5,171.0,397.875
P117T3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P117T4,100.0,13.1325,22.371975982094973,0.0,0.0,0.0,30.25,75.625
T110,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
P200I,100.0,1.425,0.5876463926786948,1.0,1.0,1.0,2.0,3.5
P600I,100.0,1.615,0.6148622248565572,1.0,1.0,2.0,2.0,3.5
P600D1,100.0,13.49,10.840901785144608,1.0,3.0,10.5,23.25,31.0
P600M1,100.0,6.13,3.401292089601815,1.0,3.0,7.0,8.0,12.0
P600A1,100.0,2022.0,0.0,2022.0,2022.0,2022.0,2022.0,2022.0
P600D2,100.0,13.55,6.7230569646177285,1.0,8.0,15.0,17.25,31.0
P600M2,100.0,5.63,3.307948798353029,1.0,2.0,5.0,8.0,12.0
P600A2,100.0,2022.0,0.0,2022.0,2022.0,2022.0,2022.0,2022.0
P612I1,100.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
P612I2,100.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
P700I,100.0,1.35,0.4793724854411022,1.0,1.0,1.0,2.0,2.0
P710I,100.0,1.35,0.4793724854411022,1.0,1.0,1.0,2.0,2.0
P800I,100.0,1.37,0.5056249258655725,1.0,1.0,1.0,2.0,3.0
P110I,100.0,1.425,0.5876463926786948,1.0,1.0,1.0,2.0,3.5
TICUEST01,100.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
T111A,100.0,3.98,3.1939968944280706,1.0,1.0,4.0,6.0,10.0
NBI1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBI2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBI3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBI4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBI5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FACTOR07,100.0,107.37417022705081,67.16090442210516,45.2823715209961,55.1079559326172,66.6793823242188,161.014282226563,304.264739990234
NCONGLOME,100.0,6685.05,169.12841782850012,6480.0,6570.0,6637.0,6753.0,7027.5
SUB_CONGLOME,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CODCCPP,100.0,18.92,19.841126556481186,1.0,1.0,11.0,36.5,54.0
LONGITUD,100.0,-78.2578328704834,0.31123482560841137,-78.5312118530273,-78.46723365783696,-78.434440612793,-77.9167785644531,-77.4822845458984
LATITUD,100.0,-5.629171566963193,0.43471724410247653,-6.39351749420166,-5.85542249679565,-5.63599729537964,-5.44626665115356,-4.832532882690425
ALTITUD,100.0,983.51,632.2110070812968,177.0,438.0,929.0,1599.0,2338.0
